Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,05:00:00,12.75
1,06/02/2023,06:00:00,12.73
3,06/02/2023,05:00:00,000.0
3,06/02/2023,06:00:00,000.0
4,06/02/2023,05:00:00,08.930
4,06/02/2023,06:00:00,08.490
6,06/02/2023,05:00:00,004.718
6,06/02/2023,06:00:00,004.710
7,06/02/2023,05:00:00,168
7,06/02/2023,06:00:00,168
8,06/02/2023,05:00:00,0956.250
8,06/02/2023,06:00:00,0954.750
9,06/02/2023,05:00:00,088
9,06/02/2023,06:00:00,087
10,06/02/2023,05:00:00,000.000
10,06/02/2023,06:00:00,000.000
50,06/02/2023,05:00:00,000.0
50,06/02/2023,06:00:00,000.0
