name,prefix,address,longitude,latitude,city
Tan_Magarha,cgsw0051,raigarh,83.5,22.5,Raigarh
PHARASGAON,cgsw0105,Raipur,81.6336833,21.2379469,Raipur
Seonath_Singdai,cgsw0062a,"Tehsil- Dongargaon, Vill- Mokhli,  Rajnandgaon",80.6915554826358,20.9727404,Rajnandgaon
Mironi Barrage,cgsw0071,"Malkharoda, Mirouni
",82.565318,22.0229287,Naila janjgir
KAKARWADA,cgsw0098,"Raipur, Chattisgarh",81.6336833,21.2379469,Raipur
Kalma Barrage,cgsw0097b,Tehsil- Baramkela Vill- Manikpur,83.5,22.5,Raigarh
Ruse,cgsw0093,"Tehsil- Khairagarh , Viill- Keshla, Rajnandgaon",80.6915554826358,20.9727404,Rajnandgaon
BANSKOT,cgsw0120,Raipur,81.6336833,21.2379469,Raipur
Mohandi,cgsw0042,"Tehsil- Magarlod, Vill- Sonepeari",81.5481305,20.7084545,Dhamtari
Mand (Bhalunara),cgsw0023,District - Raipur Tehsil - Baloda Bazar,81.6336833,21.2379469,Raipur
Hasdeo_Kudurmal,73e0e174,raigarh,83.5,22.5,Raigarh
Matiyamoti,cgsw0065,"Vill- Tumdi Kala, Tehsil- Chhuriya",80.6915554826358,20.9727404,Rajnandgaon
Sanawal,cgsw0131,"Sanawal, Ramanujganj, Surguja",83,23.25,Surguja
Bacheli,cgsw0112,"Vill- Padahpur, Tehsil- Dantewada",81.6336833,21.2379469,Raipur
Udanti/Koiba,cgsw0044,"Vill- Koiba, Tehsil- Mainpur",81.6336833,21.2379469,Raipur
Kusmi,cgsw0136,"Kusmi, Surguja",83,23.25,Surguja
Gandai,cgsw0047,"Chhuikhadan, Rajnandgaon",80.6915554826358,20.9727404,Rajnandgaon
Bhopalpatnam,73e12690,Village - Bhopalpatnam,81.6336833,21.2379469,Raipur
Pipariya Nalla,cgsw0079,"Chhuikhadan, Rajnandgaon",80.6915554826358,20.9727404,Rajnandgaon
New Rudri Barrage,cgsw0069,"Tehsil- Dhamtari, vill- Mudpar",81.5481305,20.7084545,Dhamtari
Kotadol,cgsw0126,"Vill- Kotadol, Tehsil- Janakpur",81.6336833,21.2379469,Raipur
Paraswani,cgsw0048,"Tehsil- Pithuara, Vill- paraswani",82.484847625,21.1882332,Mahasamund
Sandy,cgsw0036,Raipur,81.6336833,21.2379469,Raipur
Silphili,cgsw0128,"Vill- Ajabnagar, Tehsil- Surajpur, Dist- Surguja",83,23.25,Surguja
Kharkhara,cgsw0077,Vill- Dhumadah Tehsil- Dondiluhara,81.3979545573657,21.19903535,Durg
Kharun_Amdi,cgsw0052,"Parsada-4, Abhapur, Raipur",81.6336833,21.2379469,Raipur
Kisdi,cgsw0040,"Mahasamund, Saraipali, Kesratal",82.484847625,21.1882332,Mahasamund
Majgaon,cgsw0022,"Vill- Bhurbhuspar, Tehsil- Pandariya",81.2515798875195,22.11428865,Kabirdham
Seonath_Nandghat,73e0efa6,Tehsil- Simga,81.6336833,21.2379469,Raipur
Sikasar,cgsw0073a,"Vill- Dumarbahara, Tehsil- Gariyaband",81.6336833,21.2379469,Raipur
Komakhan,cgsw0034,"Mahasamund, Bagbahara",82.484847625,21.1882332,Mahasamund
Puta,cgsw0026,"Vill- Khirati, tehsil- Poundi-Uproda",82.7110855,22.3547468,Korba
Mahanadi_ Sarangpal,cgsw0010,"Vill- Bagod, Tehsil- Narharpur, ",81.6336833,21.2379469,Raipur
Nawapara/Bar,cgsw0039,Tehsil- Kasdol,81.6336833,21.2379469,Raipur
Turripanni,CGSW0127,"Vill- Koriya, Tehsil- Sonhat",83.5,22.5,Raigarh
Indravati Barsur,73e11dd8,"Bastar, Geedam, Korlapal",81.383611,19.121944,Raipur
Kaya,cgsw0020,"Vill- Kurunjkhol, Tegsil- Ghaarghoda",83.5,22.5,Raigarh
Chhura,cgsw0045,"Raipur, Chhura, Danganbai",82.20667,20.80639,Raipur
Ib_Tapkara,73e0f202,raigarh,83.5,22.5,Raigarh
Gej_Gouripur,cgsw0063,Tehsil- Premnagar,82.6989198,22.9633327,Premnagar
Sondur,cgsw0011a,Tehsil- Orchha,81.1136985512029,19.5842032,Narayanpur
Pratappur,cgsw0129,"Vill- Baraul
Tehsil- Pratappur",80.7337089,19.9888207,Pratappur
Rihand_Surajpur,cgsw0142,raigarh,83.5,22.5,Raigarh
Keshawa,cgsw0088,Raigarh,83.5,22.5,Raigarh
Mand_Hati,73e0d4ee,raigarh,83.5,22.5,Raigarh
Hamp_Pandariya,cgsw0058,Raigarh,83.5,22.5,Raigarh
Minimata Bango,cgsw0072,Raigarh,83.5,22.5,Raigarh
