Sensor ID,Sample Date,Sample Time,Sample Value
1,05/02/2023,22:00:00,12.80
1,05/02/2023,23:00:00,12.80
1,06/02/2023,00:00:00,12.78
1,06/02/2023,01:00:00,12.77
3,05/02/2023,22:00:00,000.0
3,05/02/2023,23:00:00,000.0
3,06/02/2023,00:00:00,000.0
3,06/02/2023,01:00:00,000.0
4,05/02/2023,22:00:00,19.1
4,05/02/2023,23:00:00,18.3
4,06/02/2023,00:00:00,16.6
4,06/02/2023,01:00:00,16.7
6,05/02/2023,22:00:00,009.1
6,05/02/2023,23:00:00,009.1
6,06/02/2023,00:00:00,009.1
6,06/02/2023,01:00:00,009.1
7,05/02/2023,22:00:00,217
7,05/02/2023,23:00:00,217
7,06/02/2023,00:00:00,217
7,06/02/2023,01:00:00,217
8,05/02/2023,22:00:00,0947.2
8,05/02/2023,23:00:00,0947.2
8,06/02/2023,00:00:00,0945.7
8,06/02/2023,01:00:00,0945.0
9,05/02/2023,22:00:00,054
9,05/02/2023,23:00:00,048
9,06/02/2023,00:00:00,054
9,06/02/2023,01:00:00,063
10,05/02/2023,22:00:00,0000.0
10,05/02/2023,23:00:00,0000.0
10,06/02/2023,00:00:00,0000.0
10,06/02/2023,01:00:00,0000.0
50,05/02/2023,22:00:00,000.0
50,05/02/2023,23:00:00,000.0
50,06/02/2023,00:00:00,000.0
50,06/02/2023,01:00:00,000.0
