Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,09:00:00,14.11
1,06/02/2023,10:00:00,14.10
1,06/02/2023,11:00:00,13.56
1,06/02/2023,12:00:00,13.52
1,06/02/2023,13:00:00,13.51
1,06/02/2023,14:00:00,13.50
1,06/02/2023,15:00:00,13.49
1,06/02/2023,16:00:00,13.48
15,06/02/2023,09:00:00,00.20
15,06/02/2023,10:00:00,00.20
15,06/02/2023,11:00:00,00.20
15,06/02/2023,12:00:00,00.20
15,06/02/2023,13:00:00,00.20
15,06/02/2023,14:00:00,00.20
15,06/02/2023,15:00:00,00.20
15,06/02/2023,16:00:00,00.20
16,06/02/2023,09:00:00,00.00
16,06/02/2023,10:00:00,00.00
16,06/02/2023,11:00:00,00.00
16,06/02/2023,12:00:00,00.00
16,06/02/2023,13:00:00,00.00
16,06/02/2023,14:00:00,00.00
16,06/02/2023,15:00:00,00.00
16,06/02/2023,16:00:00,00.00
17,06/02/2023,09:00:00,00.00
17,06/02/2023,10:00:00,00.00
17,06/02/2023,11:00:00,00.00
17,06/02/2023,12:00:00,00.00
17,06/02/2023,13:00:00,00.00
17,06/02/2023,14:00:00,00.00
17,06/02/2023,15:00:00,00.00
17,06/02/2023,16:00:00,00.00
