Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,00:00:00,12.77
1,06/02/2023,01:00:00,12.76
3,06/02/2023,00:00:00,000.0
3,06/02/2023,01:00:00,000.0
4,06/02/2023,00:00:00,14.58
4,06/02/2023,01:00:00,14.12
6,06/02/2023,00:00:00,007.65
6,06/02/2023,01:00:00,007.64
7,06/02/2023,00:00:00,191
7,06/02/2023,01:00:00,191
8,06/02/2023,00:00:00,933.36
8,06/02/2023,01:00:00,932.63
9,06/02/2023,00:00:00,063
9,06/02/2023,01:00:00,064
10,06/02/2023,00:00:00,0000.0
10,06/02/2023,01:00:00,0000.0
50,06/02/2023,00:00:00,000.0
50,06/02/2023,01:00:00,000.0
