Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,13:00:00,12.98
1,06/02/2023,14:00:00,13.02
3,06/02/2023,13:00:00,000.0
3,06/02/2023,14:00:00,000.0
4,06/02/2023,13:00:00,30.6
4,06/02/2023,14:00:00,31.2
6,06/02/2023,13:00:00,009.2
6,06/02/2023,14:00:00,009.2
7,06/02/2023,13:00:00,221
7,06/02/2023,14:00:00,221
8,06/02/2023,13:00:00,0960.5
8,06/02/2023,14:00:00,0963.5
9,06/02/2023,13:00:00,016
9,06/02/2023,14:00:00,015
10,06/02/2023,13:00:00,0609.3
10,06/02/2023,14:00:00,0545.2
50,06/02/2023,13:00:00,000.0
50,06/02/2023,14:00:00,000.0
