Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,10:00:00,13.89
1,06/02/2023,11:00:00,13.76
1,06/02/2023,12:00:00,13.15
1,06/02/2023,13:00:00,13.04
2,06/02/2023,10:00:00,317.190
2,06/02/2023,11:00:00,317.188
2,06/02/2023,12:00:00,317.181
2,06/02/2023,13:00:00,317.175
3,06/02/2023,10:00:00,000.0
3,06/02/2023,11:00:00,000.0
3,06/02/2023,12:00:00,000.0
3,06/02/2023,13:00:00,000.0
50,06/02/2023,10:00:00,000.0
50,06/02/2023,11:00:00,000.0
50,06/02/2023,12:00:00,000.0
50,06/02/2023,13:00:00,000.0
