Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,10:00:00,13.94
1,06/02/2023,11:00:00,13.84
1,06/02/2023,12:00:00,13.26
1,06/02/2023,13:00:00,13.23
1,06/02/2023,14:00:00,13.22
2,06/02/2023,10:00:00,257.728
2,06/02/2023,11:00:00,257.724
2,06/02/2023,12:00:00,257.726
2,06/02/2023,13:00:00,257.720
2,06/02/2023,14:00:00,257.718
3,06/02/2023,10:00:00,000.0
3,06/02/2023,11:00:00,000.0
3,06/02/2023,12:00:00,000.0
3,06/02/2023,13:00:00,000.0
3,06/02/2023,14:00:00,000.0
50,06/02/2023,10:00:00,000.0
50,06/02/2023,11:00:00,000.0
50,06/02/2023,12:00:00,000.0
50,06/02/2023,13:00:00,000.0
50,06/02/2023,14:00:00,000.0
