Sensor ID,Sample Date,Sample Time,Sample Value
1,05/02/2023,08:00:00,12.79
1,05/02/2023,09:00:00,12.85
1,05/02/2023,10:00:00,13.32
1,05/02/2023,11:00:00,13.55
1,05/02/2023,12:00:00,13.51
1,05/02/2023,13:00:00,13.53
1,05/02/2023,14:00:00,13.08
1,05/02/2023,15:00:00,13.12
1,05/02/2023,16:00:00,13.15
1,05/02/2023,17:00:00,13.19
1,05/02/2023,18:00:00,12.95
1,05/02/2023,19:00:00,12.92
1,05/02/2023,20:00:00,12.90
1,05/02/2023,21:00:00,12.87
1,05/02/2023,22:00:00,12.85
1,05/02/2023,23:00:00,12.82
1,06/02/2023,00:00:00,12.81
1,06/02/2023,01:00:00,12.79
1,06/02/2023,02:00:00,12.77
1,06/02/2023,03:00:00,12.76
1,06/02/2023,04:00:00,12.74
1,06/02/2023,05:00:00,12.72
1,06/02/2023,06:00:00,12.71
1,06/02/2023,07:00:00,12.70
1,06/02/2023,08:00:00,12.76
2,05/02/2023,08:00:00,238.958
2,05/02/2023,09:00:00,238.960
2,05/02/2023,10:00:00,238.954
2,05/02/2023,11:00:00,238.949
2,05/02/2023,12:00:00,238.938
2,05/02/2023,13:00:00,238.934
2,05/02/2023,14:00:00,238.934
2,05/02/2023,15:00:00,238.936
2,05/02/2023,16:00:00,238.934
2,05/02/2023,17:00:00,238.945
2,05/02/2023,18:00:00,238.952
2,05/02/2023,19:00:00,238.956
2,05/02/2023,20:00:00,238.956
2,05/02/2023,21:00:00,238.954
2,05/02/2023,22:00:00,238.956
2,05/02/2023,23:00:00,238.952
2,06/02/2023,00:00:00,238.952
2,06/02/2023,01:00:00,238.958
2,06/02/2023,02:00:00,238.951
2,06/02/2023,03:00:00,238.951
2,06/02/2023,04:00:00,238.934
2,06/02/2023,05:00:00,238.952
2,06/02/2023,06:00:00,238.951
2,06/02/2023,07:00:00,238.949
2,06/02/2023,08:00:00,238.947
3,05/02/2023,08:00:00,000.0
3,05/02/2023,09:00:00,000.0
3,05/02/2023,10:00:00,000.0
3,05/02/2023,11:00:00,000.0
3,05/02/2023,12:00:00,000.0
3,05/02/2023,13:00:00,000.0
3,05/02/2023,14:00:00,000.0
3,05/02/2023,15:00:00,000.0
3,05/02/2023,16:00:00,000.0
3,05/02/2023,17:00:00,000.0
3,05/02/2023,18:00:00,000.0
3,05/02/2023,19:00:00,000.0
3,05/02/2023,20:00:00,000.0
3,05/02/2023,21:00:00,000.0
3,05/02/2023,22:00:00,000.0
3,05/02/2023,23:00:00,000.0
3,06/02/2023,00:00:00,000.0
3,06/02/2023,01:00:00,000.0
3,06/02/2023,02:00:00,000.0
3,06/02/2023,03:00:00,000.0
3,06/02/2023,04:00:00,000.0
3,06/02/2023,05:00:00,000.0
3,06/02/2023,06:00:00,000.0
3,06/02/2023,07:00:00,000.0
3,06/02/2023,08:00:00,000.0
50,05/02/2023,08:00:00,000.0
50,05/02/2023,09:00:00,000.0
50,05/02/2023,10:00:00,000.0
50,05/02/2023,11:00:00,000.0
50,05/02/2023,12:00:00,000.0
50,05/02/2023,13:00:00,000.0
50,05/02/2023,14:00:00,000.0
50,05/02/2023,15:00:00,000.0
50,05/02/2023,16:00:00,000.0
50,05/02/2023,17:00:00,000.0
50,05/02/2023,18:00:00,000.0
50,05/02/2023,19:00:00,000.0
50,05/02/2023,20:00:00,000.0
50,05/02/2023,21:00:00,000.0
50,05/02/2023,22:00:00,000.0
50,05/02/2023,23:00:00,000.0
50,06/02/2023,00:00:00,000.0
50,06/02/2023,01:00:00,000.0
50,06/02/2023,02:00:00,000.0
50,06/02/2023,03:00:00,000.0
50,06/02/2023,04:00:00,000.0
50,06/02/2023,05:00:00,000.0
50,06/02/2023,06:00:00,000.0
50,06/02/2023,07:00:00,000.0
50,06/02/2023,08:00:00,000.0
