Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,08:00:00,14.30
1,06/02/2023,09:00:00,14.08
1,06/02/2023,10:00:00,13.93
1,06/02/2023,11:00:00,13.32
1,06/02/2023,12:00:00,13.28
1,06/02/2023,13:00:00,13.18
3,06/02/2023,08:00:00,000.0
3,06/02/2023,09:00:00,000.0
3,06/02/2023,10:00:00,000.0
3,06/02/2023,11:00:00,000.0
3,06/02/2023,12:00:00,000.0
3,06/02/2023,13:00:00,000.0
50,06/02/2023,08:00:00,000.0
50,06/02/2023,09:00:00,000.0
50,06/02/2023,10:00:00,000.0
50,06/02/2023,11:00:00,000.0
50,06/02/2023,12:00:00,000.0
50,06/02/2023,13:00:00,000.0
