Sensor ID,Sample Date,Sample Time,Sample Value
1,05/02/2023,10:00:00,13.97
1,05/02/2023,11:00:00,13.88
1,05/02/2023,12:00:00,13.32
1,05/02/2023,13:00:00,13.29
2,05/02/2023,10:00:00,257.728
2,05/02/2023,11:00:00,257.729
2,05/02/2023,12:00:00,257.726
2,05/02/2023,13:00:00,257.699
3,05/02/2023,10:00:00,000.0
3,05/02/2023,11:00:00,000.0
3,05/02/2023,12:00:00,000.0
3,05/02/2023,13:00:00,000.0
50,05/02/2023,10:00:00,000.0
50,05/02/2023,11:00:00,000.0
50,05/02/2023,12:00:00,000.0
50,05/02/2023,13:00:00,000.0
