Sensor ID,Sample Date,Sample Time,Sample Value
1,05/02/2023,09:00:00,14.01
1,05/02/2023,10:00:00,13.78
3,05/02/2023,09:00:00,000.0
3,05/02/2023,10:00:00,000.0
4,05/02/2023,09:00:00,19.26
4,05/02/2023,10:00:00,23.64
6,05/02/2023,09:00:00,008.39
6,05/02/2023,10:00:00,008.25
7,05/02/2023,09:00:00,210
7,05/02/2023,10:00:00,207
8,05/02/2023,09:00:00,1023.99
8,05/02/2023,10:00:00,1007.18
9,05/02/2023,09:00:00,050
9,05/02/2023,10:00:00,037
10,05/02/2023,09:00:00,0427.4
10,05/02/2023,10:00:00,0591.5
50,05/02/2023,09:00:00,000.0
50,05/02/2023,10:00:00,000.0
