Sensor ID,Sample Date,Sample Time,Sample Value
1,05/02/2023,12:00:00,13.48
1,05/02/2023,13:00:00,13.03
3,05/02/2023,12:00:00,000.0
3,05/02/2023,13:00:00,000.0
4,05/02/2023,12:00:00,28.8
4,05/02/2023,13:00:00,29.3
6,05/02/2023,12:00:00,009.6
6,05/02/2023,13:00:00,009.3
7,05/02/2023,12:00:00,229
7,05/02/2023,13:00:00,221
8,05/02/2023,12:00:00,0997.5
8,05/02/2023,13:00:00,0964.2
9,05/02/2023,12:00:00,021
9,05/02/2023,13:00:00,020
10,05/02/2023,12:00:00,0629.8
10,05/02/2023,13:00:00,0599.9
50,05/02/2023,12:00:00,000.0
50,05/02/2023,13:00:00,000.0
