Sensor ID,Sample Date,Sample Time,Sample Value
1,05/02/2023,09:00:00,12.30
1,05/02/2023,10:00:00,12.36
1,05/02/2023,11:00:00,12.64
1,05/02/2023,12:00:00,12.68
1,05/02/2023,13:00:00,12.68
1,05/02/2023,14:00:00,12.61
2,05/02/2023,09:00:00,232.584
2,05/02/2023,10:00:00,232.575
2,05/02/2023,11:00:00,232.560
2,05/02/2023,12:00:00,232.558
2,05/02/2023,13:00:00,232.550
2,05/02/2023,14:00:00,232.548
3,05/02/2023,09:00:00,000.0
3,05/02/2023,10:00:00,000.0
3,05/02/2023,11:00:00,000.0
3,05/02/2023,12:00:00,000.0
3,05/02/2023,13:00:00,000.0
3,05/02/2023,14:00:00,000.0
4,05/02/2023,09:00:00,19.6
4,05/02/2023,10:00:00,26.0
4,05/02/2023,11:00:00,28.2
4,05/02/2023,12:00:00,29.9
4,05/02/2023,13:00:00,29.5
4,05/02/2023,14:00:00,31.3
5,05/02/2023,09:00:00,113.0
5,05/02/2023,10:00:00,113.0
5,05/02/2023,11:00:00,113.0
5,05/02/2023,12:00:00,113.0
5,05/02/2023,13:00:00,112.0
5,05/02/2023,14:00:00,112.0
6,05/02/2023,09:00:00,000.8
6,05/02/2023,10:00:00,001.1
6,05/02/2023,11:00:00,000.8
6,05/02/2023,12:00:00,001.3
6,05/02/2023,13:00:00,000.9
6,05/02/2023,14:00:00,000.9
7,05/02/2023,09:00:00,072
7,05/02/2023,10:00:00,098
7,05/02/2023,11:00:00,112
7,05/02/2023,12:00:00,063
7,05/02/2023,13:00:00,036
7,05/02/2023,14:00:00,289
8,05/02/2023,09:00:00,986.6
8,05/02/2023,10:00:00,986.4
8,05/02/2023,11:00:00,985.7
8,05/02/2023,12:00:00,984.7
8,05/02/2023,13:00:00,983.5
8,05/02/2023,14:00:00,982.4
9,05/02/2023,09:00:00,050
9,05/02/2023,10:00:00,030
9,05/02/2023,11:00:00,032
9,05/02/2023,12:00:00,020
9,05/02/2023,13:00:00,025
9,05/02/2023,14:00:00,016
10,05/02/2023,09:00:00,014.96
10,05/02/2023,10:00:00,037.36
10,05/02/2023,11:00:00,047.34
10,05/02/2023,12:00:00,034.46
10,05/02/2023,13:00:00,054.60
10,05/02/2023,14:00:00,039.34
11,05/02/2023,09:00:00,00.00
11,05/02/2023,10:00:00,00.00
11,05/02/2023,11:00:00,00.00
11,05/02/2023,12:00:00,00.00
11,05/02/2023,13:00:00,00.00
11,05/02/2023,14:00:00,00.00
12,05/02/2023,09:00:00,00.00
12,05/02/2023,10:00:00,00.00
12,05/02/2023,11:00:00,00.00
12,05/02/2023,12:00:00,00.00
12,05/02/2023,13:00:00,00.00
12,05/02/2023,14:00:00,00.00
13,05/02/2023,09:00:00,00.00
13,05/02/2023,10:00:00,00.00
13,05/02/2023,11:00:00,00.00
13,05/02/2023,12:00:00,00.00
13,05/02/2023,13:00:00,00.00
13,05/02/2023,14:00:00,00.00
14,05/02/2023,09:00:00,00.00
14,05/02/2023,10:00:00,00.00
14,05/02/2023,11:00:00,00.00
14,05/02/2023,12:00:00,00.00
14,05/02/2023,13:00:00,00.00
14,05/02/2023,14:00:00,00.00
15,05/02/2023,09:00:00,00.03
15,05/02/2023,10:00:00,00.03
15,05/02/2023,11:00:00,00.03
15,05/02/2023,12:00:00,00.03
15,05/02/2023,13:00:00,00.03
15,05/02/2023,14:00:00,00.03
16,05/02/2023,09:00:00,00.00
16,05/02/2023,10:00:00,00.00
16,05/02/2023,11:00:00,00.00
16,05/02/2023,12:00:00,00.00
16,05/02/2023,13:00:00,00.00
16,05/02/2023,14:00:00,00.00
17,05/02/2023,09:00:00,00.00
17,05/02/2023,10:00:00,00.00
17,05/02/2023,11:00:00,00.00
17,05/02/2023,12:00:00,00.00
17,05/02/2023,13:00:00,00.00
17,05/02/2023,14:00:00,00.00
18,05/02/2023,09:00:00,00.00
18,05/02/2023,10:00:00,00.00
18,05/02/2023,11:00:00,00.00
18,05/02/2023,12:00:00,00.00
18,05/02/2023,13:00:00,00.00
18,05/02/2023,14:00:00,00.00
50,05/02/2023,09:00:00,000.0
50,05/02/2023,10:00:00,000.0
50,05/02/2023,11:00:00,000.0
50,05/02/2023,12:00:00,000.0
50,05/02/2023,13:00:00,000.0
50,05/02/2023,14:00:00,000.0
